antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"frozenset({'review_bin_80-85', 'City Builder'})",frozenset({'Management'}),0.0016691861929957169,0.057602670697908795,0.0012597631645250692,0.7547169811320754,13.102117870369414,1.0,0.001163613581916441,3.842081419462371,0.9252208271554309,0.021715526601520086,0.7397244121547191,0.38829342769014924,"City Builder, review_bin_80-85",Management
"frozenset({'review_bin_80-85', 'City Builder'})",frozenset({'Building'}),0.0016691861929957169,0.054516250944822375,0.0012597631645250692,0.7547169811320754,13.843889997056994,1.0,0.001168765391154082,3.8546645153788,0.9293171708886715,0.02293577981651376,0.7405740509944925,0.38891250558625723,"City Builder, review_bin_80-85",Building
"frozenset({'review_bin_80-85', 'City Builder'})",frozenset({'Sandbox'}),0.0016691861929957169,0.07341269841269842,0.0011337868480725624,0.6792452830188679,9.252422233554308,1.0,0.0010112473854915276,2.8887721755368814,0.8934114640840406,0.015332197614991482,0.6538321683972365,0.34734464923144165,"City Builder, review_bin_80-85",Sandbox
"frozenset({'Management', 'Building', 'review_bin_80-85'})",frozenset({'City Builder'}),0.0016061980347694634,0.022990677752582515,0.001070798689846309,0.6666666666666666,28.9972602739726,1.0,0.001033871108422093,2.931027966742252,0.9670672849436927,0.04551539491298528,0.6588227709367545,0.35662100456621004,"Building, Management, review_bin_80-85",City Builder
"frozenset({'Building', 'review_bin_80-85', 'City Builder'})",frozenset({'Management'}),0.0012597631645250692,0.057602670697908795,0.001070798689846309,0.8500000000000001,14.756260251503555,1.0,0.0009982329671228158,6.282648862013945,0.9334080251676856,0.018528610354223433,0.8408314674330784,0.43429469655549485,"Building, City Builder, review_bin_80-85",Management
"frozenset({'Management', 'review_bin_80-85', 'City Builder'})",frozenset({'Building'}),0.0012597631645250692,0.054516250944822375,0.001070798689846309,0.8500000000000001,15.591681109185442,1.0,0.0010021211250380167,6.303224993701188,0.9370436873033775,0.01957397812320092,0.8413510542620167,0.43482091276718665,"City Builder, Management, review_bin_80-85",Building
"frozenset({'review_bin_80-85', 'City Builder'})","frozenset({'Building', 'Management'})",0.0016691861929957169,0.022675736961451247,0.001070798689846309,0.6415094339622641,28.290566037735847,1.0,0.0010329486627942519,2.726220312686478,0.9662654045497816,0.04600811907983762,0.6331917874184652,0.3443658280922432,"City Builder, review_bin_80-85","Building, Management"
"frozenset({'Sandbox', 'review_bin_80-85', 'City Builder'})",frozenset({'Building'}),0.0011337868480725624,0.054516250944822375,0.0009763164525069287,0.861111111111111,15.795493934142113,1.0,0.0009145066441794657,6.807482993197276,0.9377540185273332,0.017857142857142856,0.8531028280203856,0.4395099171962257,"City Builder, Sandbox, review_bin_80-85",Building
"frozenset({'Building', 'review_bin_80-85', 'City Builder'})",frozenset({'Sandbox'}),0.0012597631645250692,0.07341269841269842,0.0009763164525069287,0.775,10.556756756756757,1.0,0.0008838338392382232,4.118165784832452,0.9064158067771231,0.013247863247863246,0.7571734475374733,0.39414950664950665,"Building, City Builder, review_bin_80-85",Sandbox
"frozenset({'review_bin_80-85', 'City Builder'})","frozenset({'Sandbox', 'Building'})",0.0016691861929957169,0.030801209372637944,0.0009763164525069287,0.5849056603773585,18.98969788169927,1.0,0.0009249034990945512,2.334887995602281,0.9489237983491898,0.030999999999999993,0.5717139315104272,0.30830150094532544,"City Builder, review_bin_80-85","Building, Sandbox"
"frozenset({'review_bin_80-85', 'Sandbox', 'Management'})",frozenset({'City Builder'}),0.0015432098765432098,0.022990677752582515,0.000944822373393802,0.6122448979591837,26.63013698630137,1.0,0.0009093429324175944,2.5196556205328133,0.9639361154044307,0.04005340453938585,0.6031203661917349,0.32667039418507127,"Management, Sandbox, review_bin_80-85",City Builder
"frozenset({'review_bin_80-85', 'Management', 'City Builder'})",frozenset({'Sandbox'}),0.0012597631645250692,0.07341269841269842,0.000944822373393802,0.75,10.216216216216216,1.0,0.0008523397601250965,3.7063492063492065,0.9032542885973763,0.012815036309269542,0.7301927194860813,0.38143500643500644,"City Builder, Management, review_bin_80-85",Sandbox
"frozenset({'Sandbox', 'review_bin_80-85', 'City Builder'})",frozenset({'Management'}),0.0011337868480725624,0.057602670697908795,0.000944822373393802,0.8333333333333334,14.466921815199562,1.0,0.0008795132229426582,5.654383975812548,0.9319334090049186,0.01634877384196185,0.8231460749256425,0.42486786950975036,"City Builder, Sandbox, review_bin_80-85",Management
"frozenset({'review_bin_80-85', 'City Builder'})","frozenset({'Sandbox', 'Management'})",0.0016691861929957169,0.0195578231292517,0.000944822373393802,0.5660377358490566,28.941755537325676,1.0,0.0009121767250614027,2.259279798876072,0.967062052430676,0.04658385093167702,0.5573810731643457,0.30717345729650897,"City Builder, review_bin_80-85","Management, Sandbox"
"frozenset({'review_bin_80-85', 'Building', 'Management', 'City Builder'})",frozenset({'Sandbox'}),0.001070798689846309,0.07341269841269842,0.0008503401360544217,0.7941176470588235,10.817170111287757,1.0,0.000771729914776022,4.500566893424035,0.908527229543687,0.011548331907613346,0.7778057689885376,0.4028503293209175,"Building, City Builder, Management, review_bin_80-85",Sandbox
"frozenset({'review_bin_80-85', 'Sandbox', 'Building', 'Management'})",frozenset({'City Builder'}),0.001165280927185689,0.022990677752582515,0.0008503401360544217,0.7297297297297297,31.740244353942984,1.0,0.000823549537766265,3.6149344923154443,0.9696241409310935,0.03648648648648648,0.7233698142730443,0.38335801554979637,"Building, Management, Sandbox, review_bin_80-85",City Builder
"frozenset({'Sandbox', 'Building', 'review_bin_80-85', 'City Builder'})",frozenset({'Management'}),0.0009763164525069287,0.057602670697908795,0.0008503401360544217,0.8709677419354839,15.120266671369865,1.0,0.0007941017009437146,7.303579302091207,0.9347762377301169,0.014729950900163666,0.8630808322004974,0.4428649535265172,"Building, City Builder, Sandbox, review_bin_80-85",Management
"frozenset({'review_bin_80-85', 'Sandbox', 'Management', 'City Builder'})",frozenset({'Building'}),0.000944822373393802,0.054516250944822375,0.0008503401360544217,0.8999999999999999,16.508838821490464,1.0,0.0007988319624482026,9.454837490551768,0.9403148183174663,0.015570934256055362,0.8942340361746777,0.4577989601386481,"City Builder, Management, Sandbox, review_bin_80-85",Building
"frozenset({'review_bin_80-85', 'Building', 'Management'})","frozenset({'Sandbox', 'City Builder'})",0.0016061980347694634,0.011085915847820609,0.0008503401360544217,0.5294117647058822,47.75534759358288,1.0,0.0008325339598060326,2.101442428823381,0.9806350307911772,0.07180851063829788,0.5241363806669164,0.30305815508021383,"Building, Management, review_bin_80-85","City Builder, Sandbox"
